dataset,split,session,dialog_id,dialog_idx,turn_id,turn_idx,speaker,start,end,emotion_code,emotion,erc_target,utterance,dialog_type,marker_gender
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_M013,28,M,101.84,107.87,ang,angry,True,Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.,impro,F
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_F015,29,F,103.97,106.71,fru,frustrated,True,That would - I would appreciate that.  Yeah.,impro,F
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_F000,0,F,7.2688,16.6,sad,sad,True,Did you get the mail? So you saw my letter?,impro,F
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_M000,1,M,17.6,20.6264,xxx,unknown,False,It's not fair.,impro,F
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_F001,2,F,19.85,22.78,sad,sad,True,Yeah.  I know.,impro,F
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_M001,3,M,21.76,27.5558,sad,sad,True,"I don't understand.  You've already done so much, I don't know why do you have to go back.",impro,F
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_F002,4,F,26.5659,32.2895,sad,sad,True,I don't know.  I put in that. request too. They didn't...,impro,F
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_F003,5,F,32.3075,37.96,neu,neutral,True,"I guess, you know, everybody has to make sacrifices.",impro,F
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_M002,6,M,38.85,45.09,xxx,unknown,False,"I don't know, it's just not fair.  I think you've already made your sacrifice.",impro,F
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_F004,7,F,47.34,53.11,sad,sad,True,"There's people that have given more though, you know?",impro,F
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_M003,8,M,52.71,59.0534,fru,frustrated,True,I just don't see how they can make you leave when you have a new baby - we have a new kid.,impro,F
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_F005,9,F,58.75,61.31,sad,sad,True,I know.,impro,F
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_M004,10,M,61.75,65.055,xxx,unknown,False,Then why is that fair?  Why--,impro,F
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_F006,11,F,64.255,68.47,neu,neutral,True,"There's babies over there, though, that need mothers.",impro,F
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_M005,12,M,69.34,74.29,sad,sad,True,I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.,impro,F
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_F007,13,F,72.39,78.57,xxx,unknown,False,"I'm not okay with it, but I don't-- it's not like I have a choice.  I don't see what crying about it is going to fix.",impro,F
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_M006,14,M,80.03,86.99,xxx,unknown,False,I'm just trying to think of another way.  I'm just trying to...,impro,F
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_F008,15,F,87.2031,91.09,sad,sad,True,"Just, you know, kicking myself.",impro,F
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_F009,16,F,91.55,95.88,xxx,unknown,False,like you sign up because you need money and,impro,F
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_F010,17,F,97.94,102.19,sad,sad,True,things just aren't what they seem.,impro,F
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_M007,18,M,103.27,107.1,xxx,unknown,False,This is a stupid war.,impro,F
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_F011,19,F,107.68,111.0153,xxx,unknown,False,"We're doing the right thing, though.",impro,F
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_M008,20,M,110.5653,113.2,fru,frustrated,True,I know.,impro,F
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_M009,21,M,114.1775,117.85,sad,sad,True,I just don't see why it has to be you.,impro,F
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_F012,22,F,117.83,120.8605,sad,sad,True,"If not me then, who?",impro,F
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_M010,23,M,120.4105,124.63,sad,sad,True,What am I going to do? Huh?,impro,F
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_F013,24,F,127.82,133.9455,sad,sad,True,"You'll videotape everything, yeah?",impro,F
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_M011,25,M,133.88,137.1,sad,sad,True,Yeah.,impro,F
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_F014,26,F,139.03,146.43,sad,sad,True,"Maybe you can send it to me, like stream it, yeah?",impro,F
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_M012,27,M,147.03,151.7101,neu,neutral,True,Don't you guys have access to computers over there.,impro,F
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_F015,28,F,151.4221,155.01,sad,sad,True,Last month--  Yeah.,impro,F
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_M013,29,M,157.98,162.71,sad,sad,True,I just don't know how I'm going to do it without you.,impro,F
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_F016,30,F,163.54,165.73,neu,neutral,True,I have to find sitters.,impro,F
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_M014,31,M,164.885,169.5,sad,sad,True,I can't raise a baby by myself.  How?,impro,F
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_F017,32,F,169.36,176.015,sad,sad,True,"We've got friends, that's why we moved here, huh?  Because there is a day care down the street.",impro,F
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_M015,33,M,175.47,176.72,neu,neutral,True,I know.,impro,F
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_F018,34,F,176.08,179.13,neu,neutral,True,And your mother is close by.,impro,F
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_F019,35,F,182.83,185.8894,sad,sad,True,I'll send you lots of letters.,impro,F
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_F020,36,F,186.58,191.11,sad,sad,True,And I want lots and lots and lots of pictures.,impro,F
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_M016,37,M,195.1047,199.52,fru,frustrated,True,It's just not fair.,impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_M000,0,M,3.24,5.46,neu,neutral,True,So what's up?  What's new?,impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_F000,1,F,4.88,7.74,hap,happy,True,Well Vegas was awesome.,impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_M001,2,M,6.6,8.66,neu,neutral,True,Yeah.  I heard.,impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_F001,3,F,7.93,11.37,hap,happy,True,"And, um, I got married.",impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_M002,4,M,10.53,13.84,sur,surprised,False,Shut up.  No- in Vegas?,impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_F002,5,F,12.8,15.37,hap,happy,True,Yeah.  In the old town part.,impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_M003,6,M,14.93,18.9075,exc,excited,True,Who did you marry?,impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_F003,7,F,15.87,20.4867,xxx,unknown,False,Chuck. [LAUGHTER],impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_M004,8,M,20.2532,22.83,xxx,unknown,False,Did you propose to you?,impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_F004,9,F,21.75,25.52,hap,happy,True,Um- Yes.  It was very romantic.,impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_F005,10,F,25.5584,28.14,hap,happy,True,It was at the slot machines.,impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_M005,11,M,27.28,29.65,xxx,unknown,False,Oh.  The Wheel of Fortune slots?,impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_F006,12,F,28.37,34.71,hap,happy,True,"Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride.",impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_M006,13,M,34.25,36.34,neu,neutral,True,He turned to you and was like...,impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_F007,14,F,35.6349,40.1,xxx,unknown,False,Hey.  Let's get married and I said okay.,impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_M007,15,M,37.7175,40.47,hap,happy,True,[LAUGHTER] That's really romantic.,impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_F008,16,F,40.12,42.79,hap,happy,True,"Yeah.  Well.  You know, because he's leaving the next day.",impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_M008,17,M,42.09,43.41,neu,neutral,True,Yeah.,impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_F009,18,F,42.84,44.54,hap,happy,True,But we're going to have a honeymoon cruise.,impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_M009,19,M,44.16,49.07,neu,neutral,True,"Does that mean that you're going to get citizenship, too, in- in England or whatever?",impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_F010,20,F,47.87,51.075,hap,happy,True,Oh.  I hadn't even thought about that.,impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_M010,21,M,49.61,52.43,xxx,unknown,False,Yeah.  Think about that.,impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_F011,22,F,51.36,53.4925,xxx,unknown,False,"He's not going to be a citizen, though.",impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_M011,23,M,52.92,56.85,neu,neutral,True,Yeah.  But he'll have like a long visa.  Can you go visit then for a long time?,impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_F012,24,F,55.865,58.15,hap,happy,True,Oh.  Totally.,impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_M012,25,M,57.46,61.375,xxx,unknown,False,"Oh, how are you going to do the long distance thing?  So wait, are you going to move there?",impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_F013,26,F,60.73,65.86,hap,happy,True,I guess I'll-  I guess I'll have an internet husband.[LAUGHTER],impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_M013,27,M,65.6425,68.44,hap,happy,True,Like you need another one of those.[LAUGHTER],impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_F014,28,F,68.01,73.75,xxx,unknown,False,I have an internet boyfriend.  I guess I'll have to juggle the two.  Is that cheating?  I don't know. Hmm.,impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_M014,29,M,73.41,76.9975,hap,happy,True,Is that your phone?,impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_F015,30,F,74.2675,78.8425,exc,excited,True,"Yeah, so [LAUGHTER] He's calling me now",impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_M015,31,M,78.32,80.5,hap,happy,True,He loves you.,impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_F016,32,F,79.035,81.0875,hap,happy,True,"He likes to keep tabs, you know.",impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_M016,33,M,80.7175,82.5225,neu,neutral,True,How much did he win at the slot?,impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_F017,34,F,82.0975,85.08,neu,neutral,True,"Uh, I think seven hundred and fifty dollars.",impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_M017,35,M,84.6925,87.36,sur,surprised,False,Really? Penny slots?,impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_F018,36,F,85.1,88.0225,neu,neutral,True,Penny slots. That's what he plays.,impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_M018,37,M,87.6425,89.08,sur,surprised,False,Wow.,impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_F019,38,F,88.08,89.5,neu,neutral,True,Yeah.,impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_M019,39,M,89.12,93.91,neu,neutral,True,I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know.,impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_F020,40,F,91.235,92.615,xxx,unknown,False,Oh.,impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_F021,41,F,92.75,98.21,hap,happy,True,Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like-,impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_M020,42,M,97.03,101.65,neu,neutral,True,"But the pennies always get you because you end up spending like, you know, fifty bucks.",impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_F022,43,F,99.7775,102.03,neu,neutral,True,Fifty bucks. Mmhmm.,impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_M021,44,M,101.67,104.35,neu,neutral,True,"like, wait, but it's just pennies.  You're like, wait a minute I'm on to you.",impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_F023,45,F,102.62,103.4625,neu,neutral,True,Yeah.,impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_F024,46,F,103.78,108.1825,hap,happy,True,Well so now we're married. We have cat children.,impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_M022,47,M,105.29,106.95,exc,excited,True,Awesome.,impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_M023,48,M,107.71,111.4,hap,happy,True,[LAUGHTER] Cat babies.,impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_F025,49,F,110.23,114.16,hap,happy,True,"We renamed Brenda, Lumber Janet.",impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_F026,50,F,114.19,120.2,hap,happy,True,She needs a new name each state that we go into. [LAUGHTER],impro,F
IEMOCAP,train,Session1,Ses01F_impro03,2,Ses01F_impro03_M024,51,M,117.36,119.58,neu,neutral,True,That's fair enough.,impro,F
IEMOCAP,train,Session1,Ses01F_impro04,3,Ses01F_impro04_M000,0,M,2.7418,6.6575,neu,neutral,True,"Have you tried, uh, Craig's List?",impro,F
IEMOCAP,train,Session1,Ses01F_impro04,3,Ses01F_impro04_F000,1,F,7.2455,11.64,neu,neutral,True,"Uh, what?  Craig's List?  Oh the internet thing?",impro,F
IEMOCAP,train,Session1,Ses01F_impro04,3,Ses01F_impro04_M001,2,M,10.46,12.13,neu,neutral,True,Yeah.,impro,F
IEMOCAP,train,Session1,Ses01F_impro04,3,Ses01F_impro04_F001,3,F,11.7448,16.15,neu,neutral,True,I don't know.  Isn't that-- that's all like escort services and things like that.,impro,F
IEMOCAP,train,Session1,Ses01F_impro04,3,Ses01F_impro04_M002,4,M,15.64,18.9,neu,neutral,True,No.  There's regular jobs on there.,impro,F
IEMOCAP,train,Session1,Ses01F_impro04,3,Ses01F_impro04_F002,5,F,18.6,30.8976,fru,frustrated,True,"I don't know.  I mean I've been looking for so long that I just figured that--  I mean, I think things like Monster are a lot more reliable than just some random free board.",impro,F
IEMOCAP,train,Session1,Ses01F_impro04,3,Ses01F_impro04_M003,6,M,26.91,28.71,neu,neutral,True,Uh huh.,impro,F
IEMOCAP,train,Session1,Ses01F_impro04,3,Ses01F_impro04_M004,7,M,30.88,35.5225,neu,neutral,True,I'm just saying I have a friend that got a good job on it so I was just recommending it.,impro,F
IEMOCAP,train,Session1,Ses01F_impro04,3,Ses01F_impro04_F003,8,F,35.009,37.8,xxx,unknown,False,What kind of a job?,impro,F
IEMOCAP,train,Session1,Ses01F_impro04,3,Ses01F_impro04_M005,9,M,37.19,40.53,neu,neutral,True,He's like a manager for a theatre.,impro,F
IEMOCAP,train,Session1,Ses01F_impro04,3,Ses01F_impro04_F004,10,F,40.23,41.95,xxx,unknown,False,Really?,impro,F
IEMOCAP,train,Session1,Ses01F_impro04,3,Ses01F_impro04_M006,11,M,40.54,43.576,neu,neutral,True,He's like a house manager. Yeah.  It's a good job.,impro,F
IEMOCAP,train,Session1,Ses01F_impro04,3,Ses01F_impro04_F005,12,F,43.35,45.7596,neu,neutral,True,He just...,impro,F
IEMOCAP,train,Session1,Ses01F_impro04,3,Ses01F_impro04_F006,13,F,46.2735,49.83,neu,neutral,True,you know what?  I heard about that job.  I applied for that.,impro,F
IEMOCAP,train,Session1,Ses01F_impro04,3,Ses01F_impro04_M007,14,M,49.39,50.58,neu,neutral,True,You did?,impro,F
IEMOCAP,train,Session1,Ses01F_impro04,3,Ses01F_impro04_F007,15,F,50.11,54.31,fru,frustrated,True,Yeah.  I saw a posting at the theatre.,impro,F
IEMOCAP,train,Session1,Ses01F_impro04,3,Ses01F_impro04_F008,16,F,54.37,55.67,xxx,unknown,False,He got it?,impro,F
IEMOCAP,train,Session1,Ses01F_impro04,3,Ses01F_impro04_M008,17,M,55.21,56.33,neu,neutral,True,Yeah.,impro,F
IEMOCAP,train,Session1,Ses01F_impro04,3,Ses01F_impro04_M009,18,M,56.35,59.0245,neu,neutral,True,You've been looking for a job for a long time; that was a long time ago.  Right?,impro,F
IEMOCAP,train,Session1,Ses01F_impro04,3,Ses01F_impro04_F009,19,F,58.71,60.0937,neu,neutral,True,Yeah.,impro,F
IEMOCAP,train,Session1,Ses01F_impro04,3,Ses01F_impro04_M010,20,M,59.8,61.55,neu,neutral,True,Hmm.,impro,F
IEMOCAP,train,Session1,Ses01F_impro04,3,Ses01F_impro04_F010,21,F,60.6771,66.5275,xxx,unknown,False,What did he do?  What was so great?  I don't understand why they would pick him over me.,impro,F
IEMOCAP,train,Session1,Ses01F_impro04,3,Ses01F_impro04_M011,22,M,65.97,69.77,neu,neutral,True,I don't know.  He had a really good resume I guess and--,impro,F
IEMOCAP,train,Session1,Ses01F_impro04,3,Ses01F_impro04_F011,23,F,69.43,70.94,xxx,unknown,False,A resume?,impro,F
IEMOCAP,train,Session1,Ses01F_impro04,3,Ses01F_impro04_M012,24,M,70.38,72.7264,neu,neutral,True,Yeah.  Do you have a resume?,impro,F
IEMOCAP,train,Session1,Ses01F_impro04,3,Ses01F_impro04_F012,25,F,72.13,74.73,xxx,unknown,False,No.,impro,F
IEMOCAP,train,Session1,Ses01F_impro04,3,Ses01F_impro04_M013,26,M,73.7473,77.15,neu,neutral,True,It's kind of helpful when getting a job.,impro,F
IEMOCAP,train,Session1,Ses01F_impro04,3,Ses01F_impro04_F013,27,F,76.49,80.7269,neu,neutral,True,I just- I mean I call people up and I tell them what I'm good at.,impro,F
IEMOCAP,train,Session1,Ses01F_impro04,3,Ses01F_impro04_M014,28,M,80.1435,87.81,neu,neutral,True,Well maybe we should sit down some time and you can just tell me all the stuff that you have done and I'll write it out.,impro,F
IEMOCAP,train,Session1,Ses01F_impro04,3,Ses01F_impro04_F014,29,F,85.49,86.98,neu,neutral,True,Yeah.,impro,F
IEMOCAP,train,Session1,Ses01F_impro04,3,Ses01F_impro04_F015,30,F,87.2203,93.33,xxx,unknown,False,I don't like- I don't like sending things in the mail.  I don't want my information out there.,impro,F
IEMOCAP,train,Session1,Ses01F_impro04,3,Ses01F_impro04_M015,31,M,92.37,99.27,neu,neutral,True,"No.  You can- or you can just bring it in person.  But they need, generally, something to see, you know, what kind of what that you've done, what kind of--",impro,F
IEMOCAP,train,Session1,Ses01F_impro04,3,Ses01F_impro04_F016,32,F,97.41,101.0475,fru,frustrated,True,I'm there in front of them.  I'm telling them what I'm good at.,impro,F
IEMOCAP,train,Session1,Ses01F_impro04,3,Ses01F_impro04_M016,33,M,100.485,103.47,neu,neutral,True,"Yeah.  But the piece of paper helps, too.",impro,F
IEMOCAP,train,Session1,Ses01F_impro04,3,Ses01F_impro04_F017,34,F,102.78,105.415,fru,frustrated,True,Why?  It's a piece of paper.,impro,F
IEMOCAP,train,Session1,Ses01F_impro04,3,Ses01F_impro04_M017,35,M,104.97,107.78,neu,neutral,True,"No.  But it has an outline, you know.",impro,F
IEMOCAP,train,Session1,Ses01F_impro04,3,Ses01F_impro04_F018,36,F,106.17,111.86,fru,frustrated,True,"I just don't want this paper trail, you know.  I just don't want things following me around, like-.",impro,F
IEMOCAP,train,Session1,Ses01F_impro04,3,Ses01F_impro04_M018,37,M,111.66,117.725,neu,neutral,True,"I know.  Okay.  Well, um. Maybe--",impro,F
IEMOCAP,train,Session1,Ses01F_impro04,3,Ses01F_impro04_F019,38,F,114.92,122.31,fru,frustrated,True,"It's just-- You know, I've had this problem before.  You're not the first person to tell me that I need a resume but...",impro,F
IEMOCAP,train,Session1,Ses01F_impro04,3,Ses01F_impro04_M019,39,M,118.46,119.77,neu,neutral,True,Yeah.,impro,F
IEMOCAP,train,Session1,Ses01F_impro04,3,Ses01F_impro04_M020,40,M,121.5,123.42,neu,neutral,True,"Okay, yeah.  I would imagine.",impro,F
IEMOCAP,train,Session1,Ses01F_impro04,3,Ses01F_impro04_F020,41,F,122.4,129.93,xxx,unknown,False,..I just-..I just think it's kind of prejudiced and they are really discriminating against people who just aren't that way.,impro,F
IEMOCAP,train,Session1,Ses01F_impro04,3,Ses01F_impro04_M021,42,M,129.43,139.16,neu,neutral,True,"Well, sometimes you have to do things that you don't necessarily like to do to have a job. But the job affords you money, you won't have to be taking the bus right now.",impro,F
IEMOCAP,train,Session1,Ses01F_impro04,3,Ses01F_impro04_F021,43,F,133.74,137.44,fru,frustrated,True,"That's baloney, that's baloney.",impro,F
IEMOCAP,train,Session1,Ses01F_impro04,3,Ses01F_impro04_F022,44,F,138.13,139.89,fru,frustrated,True,Please.,impro,F
IEMOCAP,train,Session1,Ses01F_impro04,3,Ses01F_impro04_M022,45,M,139.5219,141.8225,neu,neutral,True,maybe get a car.,impro,F
