dataset,split,session,dialog_id,dialog_idx,turn_id,turn_idx,speaker,start,end,emotion_code,emotion,erc_target,text,dialog_type,marker_gender,intensity_mean_db,intensity_std_db,pitch_mean_hz,pitch_std_hz,pitch_range_hz,articulation_rate_syll_per_s,hnr_mean_db,audio_path,audio_exists
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_M007,15,M,51.4,57.64,fru,frustrated,True,I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.,impro,F,71.54082137193339,11.180280200959364,176.8465903086013,58.0597304220209,302.6417549243549,4.135362637233536,9.631311950527794,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M007.wav,True
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_F008,16,F,56.16,58.8225,fru,frustrated,True,I'm here to get an ID.,impro,F,72.91420711316276,11.404596332190954,251.2070030304634,68.504265358234,251.1965750626633,4.800192007680307,10.47467114206636,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F008.wav,True
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_M008,17,M,58.18,62.59,fru,frustrated,True,"No.  I need another ID, a separate one.",impro,F,72.78997238042689,14.31303317956585,182.35755229334885,51.313493717382,167.79978473730313,4.8828125,9.017666403396108,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M008.wav,True
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_F009,18,F,61.87,65.97,fru,frustrated,True,Like what?  Like a birth certificate?,impro,F,67.9494685681065,12.532992226366293,248.20590195246476,52.88404941566364,250.80752020135367,5.113636363636363,10.705035010482872,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F009.wav,True
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_M009,19,M,65.51,73.0,fru,frustrated,True,"A birth certificate, a passport...a student ID; didn't you go to school?  Anything?",impro,F,70.19753277746344,11.539189462610583,204.32263566427986,69.79051311944141,384.83539145089037,4.776119402985074,11.105011851071426,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M009.wav,True
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_F010,20,F,66.42,69.34,xxx,unknown,False,Who the hell has a birth certificate?,impro,F,75.15676958693615,11.102347805846295,263.93160942987197,86.64517341738745,390.4888391242802,4.8732943469785575,9.705416410345617,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F010.wav,True
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_F011,21,F,72.45,82.26,fru,frustrated,True,"Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?",impro,F,72.24898392189505,11.68947116872844,270.79659520574415,69.78098445488637,361.3714991419977,5.597014925373134,10.10935620931246,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F011.wav,True
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_M010,22,M,81.59,86.03,fru,frustrated,True,"Yeah.  We keep it on file, but we need an ID to access that file.",impro,F,72.01842095295727,11.686757182612645,175.65400741495773,36.341406077115906,179.52447571901627,4.287281344464634,10.501701857437704,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M010.wav,True
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_F012,23,F,85.27,88.02,ang,angry,True,That's out of control.,impro,F,72.64249759272144,13.408699487615797,191.9884719477062,45.439755251736635,180.18918375247523,3.240440699935191,8.594404593113401,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F012.wav,True
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_M011,24,M,87.15,94.39,ang,angry,True,I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.,impro,F,71.982486196063,10.914922568348757,181.21779894476484,60.46171811062054,279.34751028601744,4.760119717010883,10.715421063583031,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M011.wav,True
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_F013,25,F,93.67,97.0218,fru,frustrated,True,How long have you been working here?,impro,F,68.6040432864506,12.39769791018285,288.96437729257303,68.08387166101058,331.91749632015905,5.112719487449872,8.187679218803199,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F013.wav,True
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_M012,26,M,95.86,98.68,xxx,unknown,False,Actually too long.,impro,F,56.336020985463165,6.691098184441788,107.63209259247442,45.68105789352548,185.38375921206563,2.836942308118531,5.634383403886832,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M012.wav,True
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_F014,27,F,97.89,102.96,neu,neutral,True,"Clearly.  You know, do you have like a supervisor or something?",impro,F,67.6166353778379,11.519032410880282,261.6030735475066,57.443357022820855,244.04329798850333,3.991484832357637,11.218922410527174,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F014.wav,True
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_M013,28,M,101.84,107.87,ang,angry,True,Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.,impro,F,80.13743482475691,13.486874809881618,266.6773168576886,53.36150467944136,272.0673594559168,4.464285714285714,8.222931413440216,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M013.wav,True
IEMOCAP,train,Session1,Ses01F_impro01,0,Ses01F_impro01_F015,29,F,103.97,106.71,fru,frustrated,True,That would - I would appreciate that.  Yeah.,impro,F,76.60581765111918,6.23360313312731,287.9303943352371,48.56785663613182,246.32038280813853,4.744525547445255,4.996420526121075,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F015.wav,True
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_F000,0,F,7.2688,16.6,sad,sad,True,Did you get the mail? So you saw my letter?,impro,F,50.86126383574771,5.14473901013769,193.75166473072264,37.328883816474765,257.4675053006976,2.8935223946577002,10.262503240011938,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F000.wav,True
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_M000,1,M,17.6,20.6264,xxx,unknown,False,It's not fair.,impro,F,51.62601762102524,5.099642509821051,171.05626999440932,115.91508430416089,362.25093866108955,3.96513981248193,3.5000049779847595,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M000.wav,True
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_F001,2,F,19.85,22.78,sad,sad,True,Yeah.  I know.,impro,F,49.35680102519168,5.032412692181228,181.37773246952094,26.91912312559055,159.73922287097398,2.3890784982935154,4.236723053273357,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F001.wav,True
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_M001,3,M,21.76,27.5558,sad,sad,True,"I don't understand.  You've already done so much, I don't know why do you have to go back.",impro,F,55.51959052722764,7.376196100222621,135.02799419752668,49.99993610547478,270.12447061856506,3.795843982185414,7.612227640836467,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M001.wav,True
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_F002,4,F,26.5659,32.2895,sad,sad,True,I don't know.  I put in that. request too. They didn't...,impro,F,55.840773465275255,7.336842137747077,182.97672169779852,24.28032662509997,102.60898095824874,5.924170616113745,10.964060921565556,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F002.wav,True
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_F003,5,F,32.3075,37.96,neu,neutral,True,"I guess, you know, everybody has to make sacrifices.",impro,F,55.61161909560354,7.71197083793638,178.49702401308738,47.8902593983038,406.8326300291589,3.6741326927153257,11.236553913743839,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F003.wav,True
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_M002,6,M,38.85,45.09,xxx,unknown,False,"I don't know, it's just not fair.  I think you've already made your sacrifice.",impro,F,53.91791422072859,6.80547517703389,114.8773396683786,55.64116859532267,368.9816669977412,3.525676338905638,7.150415055170129,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M002.wav,True
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_F004,7,F,47.34,53.11,sad,sad,True,"There's people that have given more though, you know?",impro,F,54.77302479844934,7.2769813396781,184.80676738743838,62.14069656422183,411.53748774347764,3.348214285714285,11.209673862600587,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F004.wav,True
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_M003,8,M,52.71,59.0534,fru,frustrated,True,I just don't see how they can make you leave when you have a new baby - we have a new kid.,impro,F,57.15246712074041,7.807459623541113,128.95434909468466,34.26704405741836,261.119841845687,3.783512163400432,8.67627982743462,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M003.wav,True
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_F005,9,F,58.75,61.31,sad,sad,True,I know.,impro,F,57.89222422035739,8.533579806499786,180.461796445921,59.864944941743545,167.1656343074178,3.472222222222222,11.290293630491103,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F005.wav,True
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_M004,10,M,61.75,65.055,xxx,unknown,False,Then why is that fair?  Why--,impro,F,55.39210807195195,7.504875856857485,162.55595654781618,70.19039810002187,358.11527526507996,3.6308623298033282,7.412704410741582,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M004.wav,True
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_F006,11,F,64.255,68.47,neu,neutral,True,"There's babies over there, though, that need mothers.",impro,F,59.79438767235742,9.310928819192362,174.4744712741003,32.96166122185517,185.92213852554286,4.536290322580645,12.409647282599868,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F006.wav,True
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_M005,12,M,69.34,74.29,sad,sad,True,I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.,impro,F,57.37216179555083,7.705915860033524,138.3155065033162,51.93679628919479,296.03210356860393,3.8384323034381747,6.927896206561678,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M005.wav,True
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_F007,13,F,72.39,78.57,xxx,unknown,False,"I'm not okay with it, but I don't-- it's not like I have a choice.  I don't see what crying about it is going to fix.",impro,F,66.31808230116141,12.053238972486096,208.0080276573515,46.53277769994354,246.32911775603054,5.434782608695652,8.507436484480325,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F007.wav,True
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_M006,14,M,80.03,86.99,xxx,unknown,False,I'm just trying to think of another way.  I'm just trying to...,impro,F,54.02962890735548,6.516157589521514,152.03183316100584,82.01478160978185,369.53809493273,3.448306827467919,6.4806139914354794,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M006.wav,True
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_F008,15,F,87.2031,91.09,sad,sad,True,"Just, you know, kicking myself.",impro,F,53.65519996915948,7.074682825686028,173.61655158540293,27.85355291648288,159.19175255167,3.087362716879191,6.508543292381581,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F008.wav,True
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_F009,16,F,91.55,95.88,xxx,unknown,False,like you sign up because you need money and,impro,F,52.14206160881049,6.390996533159669,161.39111713166122,24.09326493329959,121.19530513601742,2.771362586605081,9.741024866884992,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F009.wav,True
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_F010,17,F,97.94,102.19,sad,sad,True,things just aren't what they seem.,impro,F,50.01513483993413,6.068116166687621,152.05487229749585,28.271938280176943,123.57808930341265,3.2941176470588234,6.1421043707591725,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F010.wav,True
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_M007,18,M,103.27,107.1,xxx,unknown,False,This is a stupid war.,impro,F,48.73842178944824,4.880025639901145,107.9989640347258,8.968393613467983,33.75104353801876,1.8277060656995054,4.045601894663301,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M007.wav,True
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_F011,19,F,107.68,111.0153,xxx,unknown,False,"We're doing the right thing, though.",impro,F,55.09023798882232,7.952681786236653,185.2627077459966,19.259697018341175,69.20280238134961,4.265244918360547,13.421054126213665,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F011.wav,True
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_M008,20,M,110.5653,113.2,fru,frustrated,True,I know.,impro,F,46.799181442905,4.260196373849124,108.17099971922106,9.200407727030719,39.57250144805306,2.656924609764198,0.8798449708141893,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M008.wav,True
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_M009,21,M,114.1775,117.85,sad,sad,True,I just don't see why it has to be you.,impro,F,49.67985357238408,5.28114106017962,117.67983079400554,55.69841946924621,268.16788801461416,2.7229407760381212,4.9438637577433875,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M009.wav,True
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_F012,22,F,117.83,120.8605,sad,sad,True,"If not me then, who?",impro,F,55.35619969463192,7.994907584605702,183.7579006691769,13.294315084317072,58.67356475724239,4.401247019988998,12.246811192354755,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F012.wav,True
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_M010,23,M,120.4105,124.63,sad,sad,True,What am I going to do? Huh?,impro,F,48.60018910709323,5.032702573345533,121.99492289547905,9.615091478664691,45.932565602844576,3.0809793959502896,2.56600631621645,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M010.wav,True
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_F013,24,F,127.82,133.9455,sad,sad,True,"You'll videotape everything, yeah?",impro,F,58.88558065505626,8.858955167359337,193.24229347759393,24.847913322640693,94.52300622453728,5.2710843373493965,12.207122654597976,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F013.wav,True
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_M011,25,M,133.88,137.1,sad,sad,True,Yeah.,impro,F,44.898763897380796,2.9820131705579556,241.40968464824698,138.756602690481,392.8335338208306,2.4845202740736427,-0.029943378056959926,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M011.wav,True
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_F014,26,F,139.03,146.43,sad,sad,True,"Maybe you can send it to me, like stream it, yeah?",impro,F,57.12918959912414,8.423526350450839,247.93941757059727,53.96191765099356,372.3001759297502,3.096846846846847,12.501381596220698,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F014.wav,True
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_M012,27,M,147.03,151.7101,neu,neutral,True,Don't you guys have access to computers over there.,impro,F,55.449054154198095,7.016123082524525,135.58972940008888,40.775421028978805,214.16421216354553,4.059774842750498,7.65902416581037,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M012.wav,True
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_F015,28,F,151.4221,155.01,sad,sad,True,Last month--  Yeah.,impro,F,55.4674614638738,7.58785751401015,228.2476469157895,27.82729352846553,84.0323595012863,4.39453125,10.52238342398866,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F015.wav,True
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_M013,29,M,157.98,162.71,sad,sad,True,I just don't know how I'm going to do it without you.,impro,F,54.25458549001177,7.018158151511898,140.33600636318698,53.88284388128345,366.1987326950565,4.2283298097251585,6.73259326471022,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M013.wav,True
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_F016,30,F,163.54,165.73,neu,neutral,True,I have to find sitters.,impro,F,51.83925844136027,6.022490435034478,182.7247874044755,12.899252297810314,68.09404740182768,3.196438254516396,8.18108374886172,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F016.wav,True
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_M014,31,M,164.885,169.5,sad,sad,True,I can't raise a baby by myself.  How?,impro,F,53.363398148622984,6.404131328513651,148.47998384088143,53.989965935027385,384.75912684638257,4.117009750812567,5.330471137952558,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M014.wav,True
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_F017,32,F,169.36,176.015,sad,sad,True,"We've got friends, that's why we moved here, huh?  Because there is a day care down the street.",impro,F,64.07957786797893,10.330995016584568,225.71753275925417,34.94731449593875,258.7314278410753,4.88599348534202,11.590143790407886,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F017.wav,True
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_M015,33,M,175.47,176.72,neu,neutral,True,I know.,impro,F,55.665253442469556,6.0865561225170435,178.2943523749013,77.50075276085418,301.756701112622,4.0,5.884484204534763,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M015.wav,True
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_F018,34,F,176.08,179.13,neu,neutral,True,And your mother is close by.,impro,F,54.36600291515234,7.553787074578622,189.98419559917033,26.965475069962128,145.04413859961403,1.9672131147540985,8.685336320227693,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F018.wav,True
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_F019,35,F,182.83,185.8894,sad,sad,True,I'll send you lots of letters.,impro,F,53.03402388150465,7.124944918152472,183.4884195655778,47.03714723247828,149.95038168659448,2.6149131767109295,8.16650888696375,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F019.wav,True
IEMOCAP,train,Session1,Ses01F_impro02,1,Ses01F_impro02_F020,36,F,186.58,191.11,sad,sad,True,And I want lots and lots and lots of pictures.,impro,F,52.88826891892473,6.289565021257743,204.9662390892488,26.553679645527126,184.09628406178652,3.311303963906787,10.115876857333474,/Users/yusuf/Data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F020.wav,True
