split,season,episode,dialog_id,dialog_idx,turn_id,turn_idx,speaker,gender,emotion,utterance,intensity_mean_db,intensity_std_db,pitch_mean_hz,pitch_std_hz,pitch_range_hz,articulation_rate_syll_per_s,hnr_mean_db,intensity_level,pitch_level,rate_level
train,3,11,4,4,0,0,Rachel,F,surprise,Hey!,64.8029,7.0267,245.6004,112.0176,307.0425,4.2613,11.7966,medium,medium,medium
train,3,11,4,4,1,1,Ross,M,joy,Hi!,54.628,0.6226,282.9646,6.4771,20.1396,,5.0598,low,high,
train,3,11,4,4,2,2,Rachel,F,surprise,What are you doing here?,58.003,6.401,300.7607,86.5788,349.5036,3.5377,8.4174,low,medium,medium
train,3,11,4,4,3,3,Ross,M,neutral,"Ah y'know, this building is on my paper route so I...",66.2238,6.6583,202.1648,59.6047,402.7398,4.3605,9.5818,high,medium,medium
train,3,11,4,4,4,4,Rachel,F,neutral,Oh.,65.1366,7.0721,168.7916,47.4197,153.8911,2.2321,5.745,high,low,low
train,3,11,4,4,5,5,Ross,M,neutral,Hi.,,,,,,,,,,
train,3,11,4,4,6,6,Rachel,F,neutral,Hi.,56.4731,4.9114,289.7782,16.2519,51.2344,,6.3417,low,medium,
train,3,11,4,4,7,7,Ross,M,neutral,Howd did it go?,60.484,9.8875,161.8121,17.1476,78.2972,1.9133,8.835,low,medium,low
train,3,11,4,4,8,8,Rachel,F,joy,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldnt shut up.",62.1484,7.8665,248.31,47.0689,263.8405,4.8077,12.1737,medium,medium,high
train,3,11,4,4,9,9,Ross,M,joy,Im so proud of you.,60.7205,7.7706,162.5214,36.3705,140.7297,2.1973,10.6074,low,medium,low
train,3,11,4,4,10,10,Rachel,F,joy,Me too!,54.8084,7.1099,296.5608,83.1569,217.0962,2.6042,5.587,low,medium,low
train,3,11,4,4,11,11,Ross,M,sadness,"Listen, Im ah, Im sorry Ive been so crazy and jealous and, its just that I like you a lot, so...",59.0657,9.0669,140.5713,31.1802,376.689,4.0147,10.5447,low,low,medium
train,3,11,4,4,12,12,Rachel,F,neutral,I know.,59.8322,6.5559,130.5704,58.2389,169.959,2.87,3.9379,low,low,low
train,3,11,4,4,13,13,Ross,M,neutral,Yeah.,59.2097,4.302,142.863,20.5832,81.675,,4.4065,low,low,
train,3,11,4,4,14,14,Rachel,F,neutral,Yeah.,55.1929,3.6109,109.0067,5.6813,24.3362,3.0243,1.7657,low,low,low
train,3,15,5,5,0,0,Phoebe,F,neutral,Ameri-can.,53.2385,6.2228,188.1093,45.6865,138.1513,3.4722,8.4392,low,low,medium
train,3,15,5,5,1,1,Joey,M,neutral,Ameri-ccan.,60.7067,4.5384,123.3192,8.8568,21.5442,,6.4338,low,low,
train,3,15,5,5,2,2,Phoebe,F,neutral,Ameri-can. Y'know its a,62.4512,9.296,245.2117,57.3615,341.5733,3.7637,8.9885,medium,medium,medium
train,3,15,5,5,3,3,Sergei,M,surprise,Everybody!!,65.7276,4.7539,215.2338,76.789,259.0024,3.8769,6.9115,high,high,medium
train,8,22,6,6,0,0,Chandler,M,joy,Good job Joe! Well done! Top notch!,70.2285,6.3062,251.1175,48.2279,212.0713,3.4148,3.7432,high,high,medium
train,8,22,6,6,1,1,Joey,M,surprise,You liked it? You really liked it?,69.1943,8.85,177.7074,65.2937,327.161,3.125,6.8263,high,medium,low
train,8,22,6,6,2,2,Chandler,M,joy,"Oh-ho-ho, yeah!",70.2721,6.3208,205.9795,42.1695,174.4863,4.1535,5.3686,high,medium,medium
train,8,22,6,6,3,3,Joey,M,neutral,Which part exactly?,67.474,5.7524,160.5139,38.567,128.6418,2.0161,0.8711,high,medium,low
train,8,22,6,6,4,4,Chandler,M,neutral,The whole thing! Can we go?,70.7178,7.1035,302.1413,93.0402,401.0392,3.9062,9.4111,high,high,medium
train,8,22,6,6,5,5,Joey,M,anger,"Oh no-no-no, give me some specifics.",69.9801,5.7197,232.322,30.687,119.9162,3.7668,4.9759,high,high,medium
train,8,22,6,6,6,6,Chandler,M,joy,"I love the specifics, the specifics were the best part!",70.777,7.6905,251.3461,53.6487,221.4347,4.6875,5.907,high,high,high
train,8,22,6,6,7,7,Joey,M,neutral,"Hey, what about the scene with the kangaroo? Did-did you like that part?",69.8338,7.8926,137.504,25.3587,195.4508,3.3623,7.5082,high,low,medium
train,8,22,6,6,8,8,Chandler,M,surprise,I was surprised to see a kangaroo in a World War I epic.,70.058,6.9627,189.8184,78.6021,389.5676,3.9063,6.2139,high,medium,medium
train,8,22,6,6,9,9,Joey,M,anger,You fell asleep!!,71.1776,7.0092,248.8007,125.5983,296.6275,1.9946,3.2953,high,high,low
train,8,22,6,6,10,10,Joey,M,anger,There was no kangaroo!,72.7226,5.8298,267.2349,45.5619,190.8738,3.6622,10.7546,high,high,medium
train,8,22,6,6,11,11,Joey,M,anger,They didnt take any of my suggestions!,70.7147,9.944,261.3647,101.9312,327.6395,3.9335,2.1395,high,high,medium
train,8,22,6,6,12,12,Joey,M,neutral,Thats for coming buddy.,69.3833,7.5321,131.844,24.7049,133.4822,4.6875,7.007,high,low,high
train,8,22,6,6,13,13,Joey,M,neutral,Ill see you later.,70.1854,12.4636,188.3081,112.3207,369.3105,1.0653,11.8603,high,medium,low
train,8,22,6,6,14,14,Chandler,M,sadness,Dont go!,66.2105,11.9442,191.8291,45.1612,142.0651,1.6742,6.3687,high,medium,low
train,8,22,6,6,15,15,Chandler,M,sadness,Im sorry.,71.856,4.2559,193.3643,15.9748,55.3475,,6.9289,high,medium,
train,8,22,6,6,16,16,Chandler,M,sadness,Im so sorry!,70.3806,7.0714,241.2456,28.8386,90.6636,1.5369,7.2802,high,high,low
train,8,22,6,6,17,17,Chandler,M,surprise,Look!,70.2527,12.8391,406.6339,53.2342,164.0756,,8.6103,high,high,
train,8,22,6,6,18,18,Chandler,M,anger,This guy fell asleep!,71.2598,7.4848,367.6601,42.163,141.2702,5.1137,6.3575,high,high,high
train,8,22,6,6,19,19,Chandler,M,anger,He fell asleep too!,71.5694,6.2141,423.1448,17.2126,73.3184,3.2326,7.5243,high,high,low
train,8,22,6,6,20,20,Chandler,M,anger,Be mad at him!,71.5502,4.48,423.8222,16.2801,85.3515,2.2865,9.447,high,high,low
train,8,22,6,6,21,21,Chandler,M,anger,"Or, call an ambulance.",70.6531,11.8375,322.6788,65.4851,308.47,4.5416,10.6628,high,high,high
train,6,9,7,7,0,0,Joey,M,neutral,"Okay, look, I think we have to tell Rachel she messed up her dessert.",60.6403,6.5674,114.7037,38.4984,270.5957,4.8611,4.116,low,low,high
train,6,9,7,7,1,1,Ross,M,anger,"What?! What is with everybody? Its Thanksgiving, not...Truth-Day!",63.451,7.6006,284.411,77.7654,340.3406,5.127,10.0532,medium,high,high
train,6,23,8,8,0,0,Phoebe,F,neutral,"Yes, and it is my dying wish to have that ring.",63.2737,8.4239,226.7114,38.0665,251.6172,4.0064,8.6002,medium,low,medium
train,6,23,8,8,1,1,Phoebe,F,neutral,"See, if Im not buried with that ring then my spirit is going to wander the nether world for all eternity",63.7367,7.8109,217.9519,39.0742,256.7946,4.7305,8.8813,medium,low,high
train,6,23,8,8,2,2,Chandler,M,neutral,"Okay, thats enough honey!",66.3139,7.534,228.8228,80.6364,381.6333,3.7202,3.2131,high,high,medium
train,6,23,8,8,3,3,Customer,U,neutral,I dont know.  Let me see the ring.,58.8096,6.5478,123.4852,37.678,148.9907,3.7925,4.986,low,low,medium
train,6,23,8,8,4,4,Chandler,M,joy,"Great! Okay, here.",59.2,5.8517,109.0108,20.7626,85.5969,2.8196,3.4669,low,low,low
train,6,23,8,8,5,5,Customer,U,neutral,All right.,59.9028,6.6011,104.1085,17.3378,60.6223,4.2614,5.3278,low,low,medium
train,6,23,8,8,6,6,Chandler,M,joy,Thank you. Thank you. Thank you!  And,54.7264,1.2701,123.1335,4.2586,10.4706,,5.7774,low,low,
train,2,5,9,9,0,0,Chandler,M,neutral,What've you been up to?,68.0995,8.6527,177.7244,44.0894,184.7745,2.8196,5.9311,high,medium,low
train,2,5,9,9,1,1,Jade,F,neutral,"Oh, you know, the usual, teaching aerobics, partying way too much.",64.067,7.0875,276.8223,68.8273,280.3315,3.3482,3.4562,medium,medium,medium
train,2,5,9,9,2,2,Jade,F,neutral,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",58.5445,8.4072,245.3873,64.0024,355.7014,4.3194,10.2646,low,medium,medium
train,2,5,9,9,3,3,Chandler,M,joy,Can you hold on a moment? I have another call.  I love her.,66.4626,10.206,207.0143,54.561,276.4974,5.3318,8.889,high,medium,high
train,2,5,9,9,4,4,Ross,M,neutral,I know.,64.6573,7.7309,193.9196,27.7877,106.8558,3.5602,7.6599,medium,medium,medium
train,2,5,9,9,5,5,Chandler,M,neutral,I'm back.,68.1674,7.0241,195.6162,72.4875,233.7727,3.125,5.8724,high,medium,low
train,2,5,9,9,6,6,Jade,F,neutral,"So, are we gonna get together or what?",65.2069,8.204,283.3039,55.3049,241.8889,4.4222,11.2903,high,medium,medium
train,2,5,9,9,7,7,Chandler,M,neutral,"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",67.835,10.5952,222.1778,47.7786,292.9675,4.1747,11.1977,high,high,medium
train,2,5,9,9,8,8,Jade,F,neutral,"Great, I'll see you then.",64.7383,11.6543,285.5421,80.6352,339.9257,2.5862,7.8062,medium,medium,low
train,2,5,9,9,9,9,Chandler,M,joy,Ok.  Ok. Having a phone has finally paid off.,62.785,10.0939,161.2447,39.5651,236.106,4.3988,10.332,medium,medium,medium
train,2,5,9,9,10,10,Ross,M,neutral,"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""",65.7995,7.3656,199.2353,54.7316,404.2128,4.9961,10.0391,high,medium,high
train,2,5,9,9,11,11,Chandler,M,neutral,"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.",64.2792,8.3015,166.0267,38.5608,183.676,4.6271,7.7755,medium,medium,high
train,2,5,9,9,12,12,Ross,M,disgust,Oh my god. You are pure evil.,64.2502,7.4582,241.6951,80.6055,379.0836,4.3605,4.8894,medium,high,medium
train,2,5,9,9,13,13,Chandler,M,anger,"Ok, pure evil , horny and alone . I've done this",65.342,10.9711,243.6229,71.1401,349.0959,3.4749,3.2485,high,high,medium
train,5,10,10,10,0,0,Phoebe,F,anger,Nobody!,66.5008,6.5659,291.7934,88.2959,354.6033,4.8975,4.5992,high,medium,high
train,5,10,10,10,1,1,Phoebe,F,anger,Nobody respects the bucket!,66.8666,8.3286,399.17,78.0938,257.291,5.7691,9.8592,high,high,high
train,5,10,10,10,2,2,Phoebe,F,anger,You wouldn't believe what people put in here!,68.3031,4.3382,335.8137,105.1191,417.3919,5.9743,6.8725,high,high,high
train,5,10,10,10,3,3,Phoebe,F,anger,Look!,63.8723,9.4425,317.3999,109.4103,403.5217,3.4722,6.9832,medium,high,medium
train,5,10,10,10,4,4,Phoebe,F,anger,"Okay, does this look like a garbage can to you?",64.8843,9.8894,356.0172,102.1058,413.5101,5.0603,9.8862,medium,high,high
train,5,10,10,10,5,5,Monica,F,neutral,No.,65.3664,10.1833,367.9614,94.9457,290.8181,6.3921,11.507,high,high,high
train,4,23,11,11,0,0,Ross,M,neutral,This is my wedding.,61.4633,10.2405,153.1943,19.652,77.1716,4.1118,9.3655,medium,low,medium
train,4,23,11,11,1,1,Monica,F,anger,"All right, yknow what? We really are late! Lets go! Lets go! Lets go!!",67.0643,8.8534,367.6424,89.8352,344.7368,4.3672,8.7034,high,high,medium
train,4,23,11,11,2,2,Ross,M,neutral,Fine. Youll-youll watch it on video when we get back.,62.426,9.31,128.2322,11.5123,48.6438,3.8179,9.7324,medium,low,medium
train,4,23,11,11,3,3,Chandler,M,joy,Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.,67.6701,8.5028,252.1841,18.1817,91.5034,5.9916,12.1687,high,high,high
train,4,23,11,11,4,4,Phoebe,F,neutral,Thank you.,59.4307,9.1462,105.571,35.931,96.9359,4.0762,8.0631,low,low,medium
train,4,23,11,11,5,5,Phoebe,F,neutral,Thank you.,49.6884,2.6673,75.7784,0.4406,0.8812,,3.8926,low,low,
train,4,23,11,11,6,6,Ross,M,joy,"All right, lets go! Bye, Pheebs!",67.4007,5.2073,254.0714,42.9748,173.242,2.5475,3.3658,high,high,low
train,4,23,11,11,7,7,Joey,M,joy,"Bye, Pheebs!",66.4462,8.7943,280.2287,99.0709,297.1379,2.8935,6.5022,high,high,low
train,4,23,11,11,8,8,Joey,M,joy,London baby!!,69.0351,2.9491,360.0482,70.5728,231.3309,2.259,4.5728,high,high,low
train,4,23,11,11,9,9,Phoebe,F,joy,"Oh, do you need a hug? You dont have to bring me anything!",63.7629,13.3586,246.1178,36.1711,148.2906,3.2134,4.7071,medium,medium,low
train,6,4,12,12,0,0,Chandler,M,neutral,Hey!,63.5831,11.7262,254.9158,40.3677,182.3991,2.241,6.9944,medium,high,low
train,6,4,12,12,1,1,Joey,M,joy,Hey! So Estelle lined up a bunch of auditions for me tomorrow and Ill have my health insurance back in no time.,64.4749,9.9192,209.1902,43.761,209.0967,4.5432,6.6454,medium,medium,high
train,6,4,12,12,2,2,Chandler,M,disgust,"Thats great, but shouldnt you be on the toilet right now?",63.3648,12.7983,214.3863,60.169,245.0604,4.3808,9.2811,medium,high,medium
train,6,4,12,12,3,3,Joey,M,surprise,What?!,60.5389,9.1907,250.4633,21.3264,78.0662,2.0719,5.0492,low,high,low
train,6,4,12,12,4,4,Chandler,M,disgust,Whats wrong with you?,64.7013,4.804,216.0473,72.2878,221.3916,4.6875,4.6365,medium,high,high
train,6,4,12,12,5,5,Joey,M,neutral,Nothing!,63.1254,6.5408,249.124,89.7882,329.3832,1.9946,0.8604,medium,high,low
train,6,4,12,12,6,6,Joey,M,fear,"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, havent been able to stand up since.",63.6241,9.8954,189.0232,47.912,305.4853,4.2685,5.2625,medium,medium,medium
train,6,4,12,12,7,7,Joey,M,neutral,"But um, I dont think its anything serious.",65.3076,4.1048,172.4509,46.3818,198.5832,4.6517,1.3471,high,medium,high
train,6,4,12,12,8,8,Chandler,M,surprise,This sounds like a hernia. You have toyou-you go to the doctor!,64.2679,7.9741,214.3447,61.8406,262.5371,5.3191,6.829,medium,high,high
train,6,4,12,12,9,9,Joey,M,fear,"No way! Kay look, if I have to go to the doctor for anything its gonna be for this thing sticking out of my stomach!",65.0724,10.2513,236.3787,38.9518,226.6686,4.8986,6.8747,high,high,high
train,6,4,12,12,10,10,Chandler,M,disgust,Thats a hernia.,65.2243,8.6075,224.2075,64.1192,252.1544,3.4092,7.9089,high,high,medium
train,6,4,12,12,11,11,Joey,M,anger,Why did I have to start working out again?  Damn you 15s!,65.0619,8.2459,245.9127,67.6824,420.1596,5.373,5.6631,high,high,high
train,8,8,13,13,0,0,Mona,F,joy,I love your place! Where is this guy from?,68.5628,6.7825,218.9693,87.8053,330.8504,4.3945,7.0979,high,low,medium
train,8,8,13,13,1,1,Ross,M,neutral,Uh thats an eighteenth century Indian artifact from Calcutta.,69.5011,6.8952,192.7755,78.2832,424.8239,4.4837,5.1414,high,medium,high
train,8,8,13,13,2,2,Mona,F,surprise,"Oh wow! So, youre more than just dinosaurs.",69.4322,6.8694,243.9216,63.3759,292.3102,3.8228,4.9234,high,medium,medium
train,8,8,13,13,3,3,Ross,M,neutral,So much more.,70.1154,6.6071,159.0894,59.8799,257.0976,3.6458,8.4214,high,medium,medium
train,8,11,14,14,0,0,Ross,M,neutral,"Well, well to sum up, were having fun, you look young.",70.9321,10.4426,233.582,67.579,328.3724,5.2528,4.9783,high,high,high
train,8,11,14,14,1,1,Mona,F,neutral,Okay,71.5745,6.9682,204.6679,60.624,291.3261,4.448,7.5678,high,low,high
train,8,11,14,14,2,2,Ross,M,neutral,But thats not enough. So Soheres a key to my apartment.,69.5549,9.9147,245.4164,90.2819,371.3586,3.7442,6.3533,high,high,medium
train,8,11,14,14,3,3,Mona,F,surprise,Really?!,68.6284,10.045,254.533,82.1212,357.2062,3.7251,8.7118,high,medium,medium
train,8,11,14,14,4,4,Ross,M,neutral,Really.,61.0861,1.2582,209.6473,2.5005,7.6516,,-0.2304,low,medium,
train,8,11,14,14,5,5,Mona,F,neutral,You dont think this is too fast.,71.1066,7.9363,289.6875,79.4248,352.8995,4.3672,4.6344,high,medium,medium
train,9,23,15,15,0,0,Ross,M,anger,Get Out!,62.4271,10.1904,219.4669,115.761,373.7214,5.117,4.8205,medium,high,high
train,9,23,15,15,1,1,Charlie,F,neutral,"Ross, can I talk to you for a minute?",60.8794,4.9039,225.0246,19.2336,105.1161,4.2614,4.314,low,low,medium
train,9,23,15,15,2,2,Ross,M,neutral,"Yes, please!  So, what's going on?",61.3315,8.2183,237.0265,68.3878,311.2586,2.7328,3.8412,medium,high,low
train,9,23,15,15,3,3,Charlie,F,sadness,"Uh, well... Joey and I broke up.",57.3506,9.5617,199.0418,34.2793,145.6328,3.3186,9.6546,low,low,low
train,9,23,15,15,4,4,Ross,M,surprise,"Oh my God, wh-what happened?",58.1392,10.3113,205.0385,60.4905,326.3398,4.2194,7.4626,low,medium,medium
train,9,23,15,15,5,5,Charlie,F,sadness,"Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus!",63.0824,9.1021,238.1004,53.5188,320.1737,3.4653,5.2747,medium,low,medium
train,9,23,15,15,6,6,Ross,M,anger,I knew that was him!,65.8223,8.1393,235.5766,69.5132,226.6265,3.178,3.5684,high,high,low
train,9,23,15,15,7,7,Charlie,F,sadness,"Anyway I just, uh, I think it's for the best.",53.9392,8.0408,180.6908,42.5439,266.6699,3.4007,6.025,low,low,medium
train,9,23,15,15,8,8,Ross,M,neutral,"Hey, you ok?",54.1286,8.4005,172.0256,46.0047,206.293,2.7373,8.3615,low,medium,low
train,9,23,15,15,9,9,Charlie,F,sadness,I guess.,52.3624,8.1263,192.9604,15.5682,44.0225,3.125,7.3559,low,low,low
train,9,23,15,15,10,10,Charlie,F,neutral,There was hum...  there was another reason that I thought it was time to end it with Joey.,57.5103,9.7766,189.9408,70.9049,320.5669,3.9414,9.1465,low,low,medium
train,9,23,15,15,11,11,Charlie,F,neutral,I started to realize that I was having feelings for someone  else.,56.157,8.5971,161.0313,16.9709,107.4071,2.9481,7.277,low,low,low
train,9,23,15,15,12,12,Paleontologist,U,neutral,"Ok Geller. Last day of the conference, you know what happens to the keynote speaker.",63.0582,8.972,218.9636,66.4901,258.5482,3.7579,9.1325,medium,medium,medium
train,9,23,15,15,13,13,Ross,M,neutral,"Oh, professor Clerk we're kind of in the middle of a conversation, here.",61.249,7.4455,161.3589,56.6959,300.5929,5.6014,8.1994,low,medium,high
train,9,23,15,15,14,14,Charlie,F,neutral,"Yeah, can you guys just throw him in the pool later?",62.7958,7.627,212.4105,14.7263,83.1835,4.076,11.8634,medium,low,medium
train,9,23,15,15,15,15,Professore Clerk,U,joy,Or we could throw you both in,64.8624,7.1566,202.1167,54.8787,234.6898,4.641,8.9844,medium,medium,high
train,9,23,15,15,16,16,Ross,M,anger,"Ok, gentlemen!",64.2876,5.3187,237.3664,41.9704,144.0898,4.2613,5.3291,medium,high,medium
train,9,23,15,15,17,17,Ross,M,anger,Please!,59.5264,6.2454,231.1537,59.9181,164.8124,1.8751,2.9286,low,high,low
train,9,23,15,15,18,18,Ross,M,anger,Aren't we a little old for this?,64.5763,6.1143,200.011,49.6927,290.8981,4.3808,12.0079,medium,medium,medium
train,9,23,15,15,19,19,Ross,M,neutral,"I mean, we're scientists, right?",62.219,8.9773,201.5504,72.1872,297.6937,4.1015,9.5534,medium,medium,medium
train,9,23,15,15,20,20,Ross,M,anger,We're academics.,64.2518,5.9175,164.8845,15.4313,71.4665,3.9893,9.7551,medium,medium,medium
train,9,23,15,15,21,21,Ross,M,joy,And most importantly I... you-you will have to catch us first.,61.9768,8.7282,174.9097,42.7524,302.2101,4.5317,10.1752,medium,medium,high
train,9,23,15,15,22,22,Ross,M,joy,"GO, GO, GO!",67.9919,4.1955,364.5607,72.3855,280.9388,2.0559,-1.0516,high,high,low
train,3,25,16,16,0,0,Ross,M,joy,"Go, go, go!",65.7118,3.8469,256.2508,43.7502,178.5114,3.8266,2.8519,high,high,medium
train,3,25,16,16,1,1,Rachel,F,joy,"Oh yeah, now everybody wants to be under this hat!",64.8148,4.8775,337.9707,84.8597,301.2537,5.0551,5.3134,medium,high,high
